ID,SDI_SCORE,SOIR,SOIR_behavior,SOIR_attitude,SOIR_desire
542,80,67,21,24,22
543,60,16,4,9,3
544,58,42,8,21,14
545,80,42,9,27,6
546,51,33,3,17,13
547,86,57,15,19,23
548,76,38,9,17,12
549,56,33,5,24,4
550,53,27,9,15,3
551,77,37,16,15,6
552,41,37,6,23,8
553,50,41,14,18,9
554,76,49,10,20,19
555,86,38,4,22,12
556,71,24,3,15,6
557,59,37,5,18,14
558,82,52,15,20,18
559,65,45,16,21,8
560,59,23,4,14,5
561,76,50,8,22,20
562,13,32,3,19,11
563,60,43,12,22,9
564,81,35,10,18,7
565,79,45,5,24,17
