ID,SDI_SCORE,LONEV3_SCORE,MSPSS_SCORE
528,39,42,5.916666666666667
529,38,33,5
530,47,39,5.833333333333333
531,62,39,6.416666666666667
532,84,50,5.416666666666667
533,23,55,3.0833333333333335
534,73,52,3.1666666666666665
535,45,46,5.833333333333333
536,65,39,7
537,83,44,6.75
538,77,42,6.416666666666667
539,49,49,6.333333333333333
540,88,61,3.9166666666666665
541,67,40,4.833333333333333
542,80,53,5.75
543,60,31,7
544,58,41,6.083333333333333
545,80,40,4.5
546,51,65,3
547,86,53,3.6666666666666665
548,76,39,6.333333333333333
549,56,49,4.583333333333333
550,53,30,5.583333333333333
551,77,57,5.666666666666667
552,41,69,2.3333333333333335
553,50,63,1.1666666666666667
554,76,60,4.583333333333333
555,86,40,5.666666666666667
556,71,56,6
557,59,56,6.083333333333333
558,82,48,6.75
559,65,28,6.5
560,59,47,5.5
561,76,60,4.166666666666667
562,13,53,5.25
563,60,57,4.75
564,81,46,6.583333333333333
565,79,49,3.5
